0.000, 0.060, 0.000, 0.130, -0.008, 0.033, 0.160, 0.155, 0.098, 0.204, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0
0.000, 0.000, 0.253, -0.040, -0.040, 0.033, 0.200, 0.030, 0.178, 0.128, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0
0.440, 0.500, 0.120, 0.150, 0.752, 0.700, -0.023, 0.245, 0.444, 0.480, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1
0.440, -0.060, 0.200, 0.230, 0.072, 0.080, 0.291, -0.020, 0.262, 0.820, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1
0.080, 0.000, 0.093, 0.190, 0.256, 0.153, 0.000, 0.070, 0.169, 0.144, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0
0.040, 0.120, 0.133, 0.160, 0.048, 0.020, 0.171, 0.050, 0.147, 0.160, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0
0.680, 0.100, 0.400, 0.190, -0.176, 0.460, 0.051, 0.150, -0.169, 0.156, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1
0.320, -0.040, 0.133, -0.130, 0.208, 0.100, 0.051, 0.105, -0.058, 0.232, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0
0.400, 0.340, 0.067, 0.050, 0.448, 0.133, 0.446, 0.730, 0.209, -0.116, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1
0.200, 0.160, 0.133, 0.000, -0.152, 0.080, -0.029, 0.050, 0.187, 0.136, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0
0.320, 0.220, 0.613, 0.480, 0.192, 0.300, 0.331, 0.465, 0.240, -0.024, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1
0.440, 0.300, 0.133, 0.260, 0.352, 0.133, 0.360, 0.430, 0.151, 0.104, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1
0.080, 0.120, 0.227, 0.080, -0.008, 0.193, 0.086, 0.290, 0.289, 0.128, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0
0.000, 0.180, 0.293, 0.240, 0.064, 0.060, 0.097, 0.050, 0.098, -0.084, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0
